Animatlab Sim Times,SNS_Mujoco Sim Times
3.03861618,11.93829823
3.058261156,12.08142948
3.071144581,12.06336617
3.064084768,12.06398559
3.073123217,11.98053932
3.05299449,12.05252576
3.04949379,12.03941154
3.051069736,12.0568738
3.075741768,12.0558157
3.061541319,12.08424997
3.061643839,11.97347975
3.046324015,11.98019886
3.038429976,12.12163043
3.077873468,11.97300196
3.05058217,12.01455259
3.047263861,12.02823901
3.065622568,12.09954214
3.05960989,12.08473802
3.064364195,12.08930063
3.060154676,12.05869341
3.053939581,12.08267379
3.049555063,12.10454822
3.072367668,11.90520215
3.061549425,11.92138028
3.061330795,11.93769836
3.065921068,11.85123777
3.059850454,11.8265326
3.054070473,11.8449378
3.060672045,11.81211615
3.061609983,11.83480477
3.067960501,11.8455863
3.082275391,11.84853983
3.051355362,11.86448598
3.054402828,11.89843321
3.058344603,11.88437533
3.052365065,11.91184139
3.060855389,11.85277152
3.03591466,11.91386724
3.040611744,11.87501788
3.049603939,11.93212509
3.064448118,11.86166835
3.055111885,11.84929156
3.050626278,11.94273257
3.061172724,11.89952326
3.049500704,11.87015986
3.05249548,11.87847614
3.060439348,11.81979895
3.066532612,11.82722759
3.038494349,11.88709474
3.060563087,11.84631181
3.047388315,11.89471436
3.066804886,11.83197451
3.059161901,11.82560539
3.06035924,11.82789826
3.039704561,11.85415149
3.04619956,11.86153412
3.068176746,11.82948685
3.070931196,11.88919234
3.086664677,11.90854812
3.065839052,11.87527084
3.069038153,11.95130825
3.05283761,11.93835878
3.050390005,11.91824913
3.054415464,11.99347615
3.052415848,11.87444615
3.052856207,11.93230939
3.071681023,11.94275689
3.059131384,11.87540364
3.035814762,11.83852482
3.067121983,11.94705009
3.040309191,11.93690991
3.049500942,11.99351859
3.063086271,11.95288992
3.066133738,11.97379541
3.052602291,11.91062188
3.083439112,11.98061752
3.057444334,11.98971725
3.069355726,11.91561508
3.047858715,11.94607687
3.044945955,11.92474771
3.046536684,12.01722455
3.038884878,11.99134326
3.052490711,11.95985746
3.05362606,11.95317054
3.07926321,11.99316573
3.058130026,11.96886539
3.062971592,11.96855569
3.032699347,11.90631032
3.050832272,12.10687351
3.049372911,11.89837599
3.062919855,11.92308307
3.055978298,11.91553402
3.05594039,11.91823459
3.063664913,11.919976
3.036241055,11.98437166
3.054548979,11.98576784
3.054586649,11.83756065
3.036612034,11.95584345
3.046393633,11.84400296
3.053193092,11.96197987
